S-box 243: rank=12, redundant_rows=0
S-box 244: rank=12, redundant_rows=0
S-box 245: rank=12, redundant_rows=0
S-box 246: rank=12, redundant_rows=0
S-box 247: rank=12, redundant_rows=0
S-box 248: rank=12, redundant_rows=0
S-box 249: rank=12, redundant_rows=0
S-box 250: rank=12, redundant_rows=0
S-box 251: rank=12, redundant_rows=0
S-box 252: rank=12, redundant_rows=0
S-box 253: rank=12, redundant_rows=0
S-box 254: rank=12, redundant_rows=0
S-box 255: rank=12, redundant_rows=0
S-box 256: rank=12, redundant_rows=0
S-box 257: rank=12, redundant_rows=0
S-box 258: rank=12, redundant_rows=0
S-box 259: rank=12, redundant_rows=0
S-box 260: rank=12, redundant_rows=0
S-box 261: rank=12, redundant_rows=0
S-box 262: rank=12, redundant_rows=0
S-box 263: rank=12, redundant_rows=0
S-box 264: rank=12, redundant_rows=0
S-box 265: rank=12, redundant_rows=0
S-box 266: rank=12, redundant_rows=0
S-box 267: rank=12, redundant_rows=0
S-box 268: rank=12, redundant_rows=0
S-box 269: rank=7, redundant_rows=0
S-box 270: rank=7, redundant_rows=0
S-box 271: rank=12, redundant_rows=0
S-box 272: rank=12, redundant_rows=0
S-box 273: rank=12, redundant_rows=0
S-box 274: rank=12, redundant_rows=0
S-box 275: rank=12, redundant_rows=0
S-box 276: rank=12, redundant_rows=0
S-box 277: rank=12, redundant_rows=0
S-box 278: rank=12, redundant_rows=0
S-box 279: rank=12, redundant_rows=0
S-box 280: rank=7, redundant_rows=0
S-box 281: rank=12, redundant_rows=0
S-box 282: rank=12, redundant_rows=0
S-box 283: rank=7, redundant_rows=0
S-box 284: rank=12, redundant_rows=0
S-box 285: rank=12, redundant_rows=0
S-box 286: rank=12, redundant_rows=0
S-box 287: rank=12, redundant_rows=0
S-box 288: rank=12, redundant_rows=0
S-box 289: rank=12, redundant_rows=0
S-box 290: rank=12, redundant_rows=0
S-box 291: rank=12, redundant_rows=0
S-box 292: rank=12, redundant_rows=0
S-box 293: rank=12, redundant_rows=0
S-box 294: rank=12, redundant_rows=0
S-box 295: rank=12, redundant_rows=0
S-box 296: rank=12, redundant_rows=0
S-box 297: rank=12, redundant_rows=0
S-box 298: rank=12, redundant_rows=0
S-box 299: rank=7, redundant_rows=0
S-box 300: rank=7, redundant_rows=0
S-box 301: rank=12, redundant_rows=0
S-box 302: rank=12, redundant_rows=0
S-box 303: rank=12, redundant_rows=0
S-box 304: rank=7, redundant_rows=0
S-box 305: rank=12, redundant_rows=0
S-box 306: rank=12, redundant_rows=0
S-box 307: rank=12, redundant_rows=0
S-box 308: rank=12, redundant_rows=0
S-box 309: rank=12, redundant_rows=0
S-box 310: rank=12, redundant_rows=0
S-box 311: rank=12, redundant_rows=0
S-box 312: rank=12, redundant_rows=0
S-box 313: rank=12, redundant_rows=0
S-box 314: rank=12, redundant_rows=0
S-box 315: rank=12, redundant_rows=0
S-box 316: rank=12, redundant_rows=0
S-box 317: rank=12, redundant_rows=0
S-box 318: rank=12, redundant_rows=0
S-box 319: rank=12, redundant_rows=0
S-box 320: rank=12, redundant_rows=0
S-box 321: rank=12, redundant_rows=0
S-box 322: rank=12, redundant_rows=0
S-box 323: rank=12, redundant_rows=0
S-box 324: rank=12, redundant_rows=0
S-box 325: rank=12, redundant_rows=0
S-box 326: rank=12, redundant_rows=0
S-box 327: rank=12, redundant_rows=0
S-box 328: rank=12, redundant_rows=0
S-box 329: rank=12, redundant_rows=0
S-box 330: rank=12, redundant_rows=0
S-box 331: rank=12, redundant_rows=0
S-box 332: rank=12, redundant_rows=0
S-box 333: rank=12, redundant_rows=0
S-box 334: rank=12, redundant_rows=0
S-box 335: rank=12, redundant_rows=0
S-box 336: rank=12, redundant_rows=0
S-box 337: rank=12, redundant_rows=0
S-box 338: rank=12, redundant_rows=0
S-box 339: rank=12, redundant_rows=0
S-box 340: rank=12, redundant_rows=0
S-box 341: rank=12, redundant_rows=0
S-box 342: rank=12, redundant_rows=0
S-box 343: rank=7, redundant_rows=0
S-box 344: rank=12, redundant_rows=0
S-box 345: rank=12, redundant_rows=0
S-box 346: rank=7, redundant_rows=0
S-box 347: rank=12, redundant_rows=0
S-box 348: rank=12, redundant_rows=0
S-box 349: rank=12, redundant_rows=0
S-box 350: rank=12, redundant_rows=0
S-box 351: rank=12, redundant_rows=0
S-box 352: rank=12, redundant_rows=0
S-box 353: rank=12, redundant_rows=0
S-box 354: rank=12, redundant_rows=0
S-box 355: rank=12, redundant_rows=0
S-box 356: rank=12, redundant_rows=0
S-box 357: rank=12, redundant_rows=0
S-box 358: rank=12, redundant_rows=0
S-box 359: rank=12, redundant_rows=0
S-box 360: rank=12, redundant_rows=0
S-box 361: rank=12, redundant_rows=0
S-box 362: rank=12, redundant_rows=0
S-box 363: rank=12, redundant_rows=0
S-box 364: rank=12, redundant_rows=0
S-box 365: rank=12, redundant_rows=0
S-box 366: rank=12, redundant_rows=0
S-box 367: rank=12, redundant_rows=0
S-box 368: rank=12, redundant_rows=0
S-box 369: rank=12, redundant_rows=0
